No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;Time 2;Time 1;delay;delay 2;delay 1;jitter
7;0;192.168.100.5;64.233.188.188;TCP;55;51522  >  5228 [ACK] Seq=1 Ack=1 Win=64272 Len=1;;;;;;;;;;3.468.948;0;3.468.948;69.209;3.399.739;-3.330.530
8;3.468.948;64.233.188.188;192.168.100.5;TCP;66;5228  >  51522 [ACK] Seq=1 Ack=2 Win=65535 Len=0 SLE=1 SRE=2;;;;;;;;;;3.538.157;3.468.948;69.209;24.428.317;-24.359.108;48.787.425
64;3.538.157;192.168.100.5;157.240.217.60;TLSv1.2;85;Application Data;;;;;;;;;;27.966.474;3.538.157;24.428.317;86.975;24.341.342;-24.254.367
65;27.966.474;157.240.217.60;192.168.100.5;TCP;54;443  >  51527 [ACK] Seq=1 Ack=32 Win=122 Len=0;;;;;;;;;;28.053.449;27.966.474;86.975;873.169;-786.194;1.659.363
70;28.053.449;157.240.217.60;192.168.100.5;TLSv1.2;92;Application Data;;;;;;;;;;28.926.618;28.053.449;873.169;200.126;673.043;-472.917
71;28.926.618;192.168.100.5;157.240.217.60;TCP;54;51527  >  443 [ACK] Seq=32 Ack=39 Win=261 Len=0;;;;;;;;;;29.126.744;28.926.618;200.126;19.411.360;-19.211.234;38.622.594
103;29.126.744;192.168.100.5;64.233.188.188;TCP;55;[TCP Keep-Alive] 51522  >  5228 [ACK] Seq=1 Ack=1 Win=64272 Len=1;;;;;;;;;;48.538.104;29.126.744;19.411.360;107.055;19.304.305;-19.197.250
105;48.538.104;64.233.188.188;192.168.100.5;TCP;66;[TCP Keep-Alive ACK] 5228  >  51522 [ACK] Seq=1 Ack=2 Win=65535 Len=0 SLE=1 SRE=2;;;;;;;;;;48.645.159;48.538.104;107.055;8.809.417;-8.702.362;17.511.779
124;48.645.159;192.168.100.5;157.240.217.60;TLSv1.2;85;Application Data;;;;;;;;;;57.454.576;48.645.159;8.809.417;99.713;8.709.704;-8.609.991
125;57.454.576;157.240.217.60;192.168.100.5;TCP;54;443  >  51527 [ACK] Seq=39 Ack=63 Win=122 Len=0;;;;;;;;;;57.554.289;57.454.576;99.713;173.297;-73.584;246.881
126;57.554.289;157.240.217.60;192.168.100.5;TLSv1.2;92;Application Data;;;;;;;;;;57.727.586;57.554.289;173.297;206.159;-32.862;239.021
128;57.727.586;192.168.100.5;157.240.217.60;TCP;54;51527  >  443 [ACK] Seq=63 Ack=77 Win=260 Len=0;;;;;;;;;;57.933.745;57.727.586;206.159;17.357.761;-17.151.602;34.509.363
157;57.933.745;192.168.100.5;157.240.217.60;TLSv1.2;85;Application Data;;;;;;;;;;75.291.506;57.933.745;17.357.761;100.523;17.257.238;-17.156.715
